,Text,User,Platform,Hashtags,Retweets,Likes,Sentiment,Country
0, Enjoying a beautiful day at the park!              , User123      , Twitter  , #Nature #Park                            ,15,30, Positive  , USA      
1, Traffic was terrible this morning.                 , CommuterX    , Twitter  , #Traffic #Morning                        ,5,10, Negative  , Canada   
2, Just finished an amazing workout! , FitnessFan   , Instagram , #Fitness #Workout                        ,20,40, Positive  , USA        
3, Excited about the upcoming weekend getaway!        , AdventureX   , Facebook , #Travel #Adventure                       ,8,15, Positive  , UK       
4, Trying out a new recipe for dinner tonight.        , ChefCook     , Instagram , #Cooking #Food                           ,12,25, Neutral   , Australia 
5, Feeling grateful for the little things in life.    , GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25,50, Positive  , India    
6, Rainy days call for cozy blankets and hot cocoa.   , RainyDays    , Facebook , #RainyDays #Cozy                         ,10,20, Positive  , Canada   
7, The new movie release is a must-watch!             , MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15,30, Positive  , USA    
8, Political discussions heating up on the timeline.  , DebateTalk   , Twitter  , #Politics #Debate                       ,30,60, Negative  , USA      
9, Missing summer vibes and beach days.               , BeachLover   , Facebook , #Summer #BeachDays                      ,18,35, Neutral   , Australia 
10, Just published a new blog post. Check it out!      , BloggerX     , Instagram , #Blogging #NewPost                      ,22,45, Positive  ,USA
11, Feeling a bit under the weather today.             , WellnessCheck, Twitter  , #SickDay #Health                        ,7,15, Negative  , Canada   
12, Exploring the city's hidden gems.                  , UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12,25, Positive  , UK       
13," New year, new fitness goals! 💪                    ", FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28,55, Positive  , USA        
14, Technology is changing the way we live.            , TechEnthusiast, Twitter  , #Tech #Innovation                       ,15,30, Neutral   , India    
15, Reflecting on the past and looking ahead.          , Reflections  , Facebook , #Reflection #Future                     ,20,40, Positive  , USA      
16, Just adopted a cute furry friend! 🐾              , PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15,30, Positive  , Canada    
17, Late-night gaming session with friends.            , GamerX       , Twitter  , #Gaming #LateNight                      ,18,35, Positive  , UK       
18, Attending a virtual conference on AI.              , TechConference, Facebook , #AI #TechConference                     ,25,50, Neutral   ,USA
